ID,FECHA,PUNTO,USERNAME
1.47473E+18,2021-12-25T07:17:41.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47493E+18,2021-12-25T20:45:11.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47465E+18,2021-12-25T01:36:11.000-06:00,POINT (-96.6833 18.7667),neostarke
1.47464E+18,2021-12-25T01:31:51.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47465E+18,2021-12-25T02:07:00.000-06:00,POINT (-98.8417 19.2333),JCESAR8411
1.47483E+18,2021-12-25T13:38:42.000-06:00,POINT (-98.6520783 19.13355912),rortiz0829
1.47483E+18,2021-12-25T13:33:11.000-06:00,POINT (-86.99116498 20.44656193),drknmelanated
1.47483E+18,2021-12-25T13:34:14.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.4748E+18,2021-12-25T12:00:21.000-06:00,POINT (-101.05502122 17.27294866),deyalejayeya
1.47483E+18,2021-12-25T14:07:34.000-06:00,POINT (-87.3787 21.5182),DEmanuelSCampos
1.47496E+18,2021-12-25T22:23:02.000-06:00,POINT (-87.01992129 20.37612309),coffeegirlhere
1.47517E+18,2021-12-26T12:23:15.000-06:00,POINT (-99.4755172 19.2830638),ANGYBABYS
1.47523E+18,2021-12-26T16:31:24.000-06:00,POINT (-100.43631438 20.67481118),manuel_coutino
1.47525E+18,2021-12-26T17:21:33.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47524E+18,2021-12-26T17:15:10.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47512E+18,2021-12-26T09:13:37.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:34:38.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:34:50.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:35:06.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:36:15.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:36:18.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:36:35.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:36:44.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.4748E+18,2021-12-25T12:11:19.000-06:00,POINT (-88.39809895 18.65913474),YORCH_21
1.47463E+18,2021-12-25T00:40:30.000-06:00,POINT (-100.10763297 25.76068873),BrandonBelmares
1.47463E+18,2021-12-25T00:34:36.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47463E+18,2021-12-25T00:44:40.000-06:00,POINT (-103.437178 20.823166),anest_ped
1.47493E+18,2021-12-25T20:18:32.000-06:00,POINT (-102.366667 23.316667),SaraCorraless
1.47472E+18,2021-12-25T06:51:43.000-06:00,POINT (-105.52708858 20.77215411),danabcoaching
1.47472E+18,2021-12-25T06:30:33.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47503E+18,2021-12-26T03:08:26.000-06:00,POINT (-92.15 14.6667),RDSanMarcos
1.47503E+18,2021-12-26T03:18:11.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47522E+18,2021-12-26T15:53:26.000-06:00,POINT (-92.58667946 16.7396193),adi7anand
1.47522E+18,2021-12-26T15:53:36.000-06:00,POINT (-99.24499512 19.2537842),Infatuated4U
1.47516E+18,2021-12-26T11:50:19.000-06:00,POINT (-87.11906558 20.58250337),SharolinPut
1.47522E+18,2021-12-26T15:53:50.000-06:00,POINT (-88.56867135 20.68287391),FerPintor
1.47513E+18,2021-12-26T09:36:17.000-06:00,POINT (-87.36317172 21.53462996),JennMalibu
1.47526E+18,2021-12-26T18:07:58.000-06:00,POINT (-100.23407171 25.88069656),dich07171
1.47515E+18,2021-12-26T10:55:07.000-06:00,POINT (-99.19951058 19.03023471),pirovelvet76
1.47533E+18,2021-12-26T22:38:36.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47533E+18,2021-12-26T22:41:11.000-06:00,POINT (-115.47103183 31.03753124),Ale17gzz
1.47533E+18,2021-12-26T22:46:28.000-06:00,POINT (-102.366667 23.316667),Cadaver_Vivient
1.47484E+18,2021-12-25T14:48:14.000-06:00,POINT (-102.366667 23.316667),Waka_mole
1.47488E+18,2021-12-25T17:01:09.000-06:00,POINT (-96.25924105 15.77202371),M3mo_AS
1.47498E+18,2021-12-25T23:48:15.000-06:00,POINT (-92.15 14.6667),RDSanMarcos
1.47467E+18,2021-12-25T03:24:54.000-06:00,POINT (-98.84781188 19.69347389),midocu33
1.47495E+18,2021-12-25T22:06:38.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47532E+18,2021-12-26T21:58:28.000-06:00,POINT (-102.21093893 19.90292999),drrenepalma
1.47511E+18,2021-12-26T08:13:51.000-06:00,POINT (-86.79627536 21.12356704),ShaktiJuan
1.47533E+18,2021-12-26T23:06:32.000-06:00,POINT (-115.47103183 31.03753124),Ale17gzz
1.47493E+18,2021-12-25T20:31:55.000-06:00,POINT (-86.91816519 20.88701034),sdkier
1.47484E+18,2021-12-25T14:38:40.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47493E+18,2021-12-25T20:34:05.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.4749E+18,2021-12-25T18:28:25.000-06:00,POINT (-109.90963573 27.50253492),danielparedesz
1.47488E+18,2021-12-25T17:10:08.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47488E+18,2021-12-25T17:10:25.000-06:00,POINT (-103.13952464 23.91062008),HiPeople_21
1.47475E+18,2021-12-25T08:29:08.000-06:00,POINT (-89.5959 21.0915),MarianaZentenoW
1.47463E+18,2021-12-25T00:55:38.000-06:00,POINT (-103.437178 20.823166),anest_ped
1.47464E+18,2021-12-25T01:02:04.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47478E+18,2021-12-25T10:45:38.000-06:00,POINT (-101.9146745 24.20602797),HiPeople_21
1.47489E+18,2021-12-25T17:36:11.000-06:00,POINT (-105.8 22.85),elivanbeltran
1.47466E+18,2021-12-25T02:23:06.000-06:00,POINT (-101.4721204 24.07030119),HiPeople_21
1.47466E+18,2021-12-25T02:23:08.000-06:00,POINT (-102.366667 23.316667),Bega1118
1.47514E+18,2021-12-26T10:11:12.000-06:00,POINT (-86.81980192 21.25833763),alexrMexico
